timestamp,src_ip,dst_ip,protocol,length,flags,sport,dport
1745214429.603395,10.30.247.143,151.101.65.91,6,158,PA,51019,443
1745214429.604019,10.30.247.143,151.101.65.91,6,514,PA,51019,443
1745214429.63617,151.101.65.91,10.30.247.143,6,66,A,443,51019
1745214429.636849,151.101.65.91,10.30.247.143,6,66,A,443,51019
1745214429.637438,151.101.65.91,10.30.247.143,6,131,PA,443,51019
1745214429.637814,151.101.65.91,10.30.247.143,6,66,A,443,51019
1745214429.638273,151.101.65.91,10.30.247.143,6,307,PA,443,51019
1745214429.638738,151.101.65.91,10.30.247.143,6,119,PA,443,51019
1745214429.639157,10.30.247.143,151.101.65.91,6,66,A,51019,443
1745214429.639468,10.30.247.143,151.101.65.91,6,66,A,51019,443
1745214429.6398458,10.30.247.143,151.101.65.91,6,97,PA,51019,443
1745214429.6718678,151.101.65.91,10.30.247.143,6,66,A,443,51019
1745214429.68447,104.18.10.200,10.30.247.143,6,90,FPA,443,51006
1745214429.685163,10.30.247.143,104.18.10.200,6,78,FA,51006,443
1745214430.126229,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214430.132832,104.18.10.200,10.30.247.143,6,1105,PA,443,51018
1745214430.133603,10.30.247.143,104.18.10.200,6,66,A,51018,443
1745214430.137534,10.30.247.143,104.18.10.200,6,149,PA,51018,443
1745214430.138266,10.30.247.143,104.18.10.200,6,386,PA,51018,443
1745214430.138838,10.30.247.143,104.18.10.200,6,1436,A,51018,443
1745214430.13941,10.30.247.143,104.18.10.200,6,1436,A,51018,443
1745214430.1399229,10.30.247.143,104.18.10.200,6,826,PA,51018,443
1745214430.1693099,104.18.10.200,10.30.247.143,6,66,A,443,51018
1745214430.17011,104.18.10.200,10.30.247.143,6,66,A,443,51018
1745214430.170733,104.18.10.200,10.30.247.143,6,66,A,443,51018
1745214430.171347,104.18.10.200,10.30.247.143,6,66,A,443,51018
1745214430.171952,104.18.10.200,10.30.247.143,6,66,A,443,51018
1745214430.44579,104.18.10.200,10.30.247.143,6,115,PA,443,51018
1745214430.446193,10.30.247.143,104.18.10.200,6,66,A,51018,443
1745214430.652857,151.101.65.91,10.30.247.143,6,105,PA,443,51019
1745214430.654227,10.30.247.143,151.101.65.91,6,66,A,51019,443
1745214430.9310322,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214430.952037,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214430.989232,142.250.182.234,10.30.247.143,17,185,0,443,57000
1745214430.990138,142.250.182.234,10.30.247.143,17,185,0,443,57000
1745214430.991851,10.30.247.143,142.250.182.234,17,75,0,57000,443
1745214431.192443,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214431.203989,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214431.286679,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214431.409761,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214431.41169,104.18.10.200,10.30.247.143,6,90,FPA,443,51006
1745214431.412423,10.30.247.143,104.18.10.200,6,78,FA,51006,443
1745214431.420841,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214431.609867,10.30.247.143,52.123.164.67,6,116,PA,50321,443
1745214431.624956,52.123.164.67,10.30.247.143,6,105,PA,443,50321
1745214431.625676,10.30.247.143,52.123.164.67,6,66,A,50321,443
1745214431.626613,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214431.63847,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214431.843138,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214431.8553548,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214432.059786,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214432.0723,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214432.27666,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214432.2883708,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214432.693193,10.30.247.143,142.250.182.234,17,71,0,57000,443
